texto,tipo
Vinculan a proceso a adolescente involucrado en homicidio de elemento de PABIC en Pochutla,Accidentes e Incidentes
Taxistas sufren accidente en calle Casimiro Ramírez de Huajuapan,Accidentes e Incidentes
El SSN reporta 150 réplicas tras el sismo; la más intensa magnitud 5. 2,Desastres naturales
"""Fue un día de tristezas; hay que salir adelante"": AMLO sobre inundaciones en Tula y el sismo",Desastres naturales
La CFE reporta 1. 6 millones de usuarios sin electricidad por el sismo,Accidentes e Incidentes
Oaxaca sin daños tras sismo de magnitud 7. 1,Desastres naturales
Juego de ojos | Miguel Ángel Sánchez de Armas | Realeza,Accidentes e Incidentes
Siete lesionados en accidente automovilístico en Cintalapa,Accidentes e Incidentes
"Andra amenaza con presentar ""demande"" vs negocio que le hizo piñata ""compañere""",Accidentes e Incidentes
"Por el delito de abuso de autoridad y coalición de servidores públicos, vinculan a proceso a integrante del sindicato del sector salud: FGEO",Accidentes e Incidentes
"Aprehende Fiscalía General a segundo probable responsable del triple homicidio en bar 'La Parranda', en Juchitán de Zaragoza",Accidentes e Incidentes
"Por el delito de violencia familiar, Fiscalía General aprehende a probable responsable y lo presenta ante Juez",Accidentes e Incidentes
"Por el homicidio del ex síndico municipal de San Agustín Loxicha, aprehende FGEO y lleva a audiencia a probable responsable",Accidentes e Incidentes
Exhortan los SSO a la población a evitar accidentes por pirotecnia,Accidentes e Incidentes
"Obtiene FGEO auto de vinculación a proceso contra probable extorsionador; hechos suscitados en 2020, en Oaxaca de Juárez",Accidentes e Incidentes
"Logra FGEO aprehender y presentar ante Juez a sujeto imputado por homicidio e inhumación clandestina, cometidos en la región del Istmo",Accidentes e Incidentes
"Logra FGEO extradición a Oaxaca de masculino aprehendido en California por homicidio cometido en 2011, en la Mixteca",Accidentes e Incidentes
Tras 12 años prófugo logran encarcelarlo por homicidio,Accidentes e Incidentes
"Logramos vinculación a proceso de probable responsable de abuso sexual contra una mujer, cometido en Santa Lucía del Camino",Accidentes e Incidentes
Logra FGEO vincular a proceso a probable responsable de homicidio y lesiones cometidos en Tehuantepec,Accidentes e Incidentes
"Muerte de comunicador en la región de la Mixteca, no fue homicidio: FGEO",Accidentes e Incidentes
Vinculado a proceso sujeto probable responsable del delito de abuso sexual cometido en autobús comercial: FGEO,Accidentes e Incidentes
"Por el delito de homicidio, logramos vincular a proceso a probable responsable; hechos suscitados en Santa Cruz Xoxocotlán",Accidentes e Incidentes
"Abre Fiscalía General investigación por doble homicidio, suscitado en la región de la Costa",Accidentes e Incidentes
"A prisión probable responsable de tentativa de homicidio y lesiones, en la región de la Cuenca: FGEO",Accidentes e Incidentes
"FGEO logra vinculación a proceso de 'El Pancho', probable responsable de homicidio cometido en el Istmo",Accidentes e Incidentes
"Por el delito de violencia familiar cometido en Santa Cruz Xoxocotlán, logramos vincular a proceso a probable responsable",Accidentes e Incidentes
"Por el delito de violencia familiar, logramos vincular a proceso a masculino que agredió físicamente a su concubina, en la región de Valles Centrales",Accidentes e Incidentes
"Fiscalía General ejecuta orden de aprehensión contra probable implicado en homicidio de médico, cometido en la agencia de Pueblo Nuevo",Accidentes e Incidentes
"Fiscalía General inicia carpeta de investigación por homicidio de mujer trans, en Oaxaca de Juárez",Accidentes e Incidentes
"Logra FGEO vincular a proceso a líder de organización de transportistas, probable responsable de homicidio cometido en Valles Centrales",Accidentes e Incidentes
"Aprehenden y vinculan a proceso a probable responsable de doble homicidio en sector Cajonos, Sierra Norte",Accidentes e Incidentes
"Eficacia y resultados en la labor de la FGEO; en sólo diez días, logra cuatro fallos condenatorios por homicidios, en la Costa",Accidentes e Incidentes
"Por el delito de violencia familiar, logramos enviar a prisión y vincular a proceso a un masculino; hechos suscitados en Huautla de Jiménez",Accidentes e Incidentes
Obtiene FGEO fallo condenatorio contra responsable de homicidio; hechos suscitados en la región de la Cuenca,Accidentes e Incidentes
Obtiene FGEO auto de vinculación a proceso contra segundo probable responsable del delito de homicidio; hecho suscitado en la Agencia de Candiani,Accidentes e Incidentes
Logra Fiscalía General sentencia condenatoria de 15 años de prisión contra dos responsables de despojo cometido en la región de la Costa,Accidentes e Incidentes
"Aprehende Fiscalía General probable responsable del triple homicidio cometido en el bar 'La Parranda', en Juchitán de Zaragoza",Accidentes e Incidentes
"Investiga FGEO multihomicidio ocurrido en Santo Domingo Petapa, en la región del Istmo de Tehuantepec",Accidentes e Incidentes
"Aprehende FGEO y lleva a audiencia a ex munícipe de Ayotzintepec, acusado de homicidio",Accidentes e Incidentes
Aprehende Fiscalía General y lleva ante juez a probables responsables de homicidio cometido en hotel del centro de la Ciudad de Oaxaca,Accidentes e Incidentes
"La Fiscalía General logra vincular a proceso a probable implicado en homicidio de excandidata, fotoperiodista y exescolta, ocurrido en Juchitán",Accidentes e Incidentes
Aprehende Fiscalía General y lleva a audiencia a probable extorsionador universitario,Accidentes e Incidentes
"Dictan fallo condenatorio de más de cinco años de prisión contra extorsionador, en Valles Centrales: FGEO",Accidentes e Incidentes
"Detiene Fiscalía General a segundo probable implicado en homicidio de excandidata, fotoperiodista y exescolta, en Juchitán",Accidentes e Incidentes
"Inicia Fiscalía General investigación exhaustiva por multihomicidio registrado en la zona de La Venta, en la región del Istmo",Accidentes e Incidentes
"Investiga Fiscalía General triple homicidio cometido en San Marcial Ozolotepec, Distrito de Miahuatlán",Accidentes e Incidentes
"Investiga FGEO el homicidio de cuatro personas, ocurrido en la región del Istmo",Accidentes e Incidentes
"Fiscalía General del Estado de Oaxaca aprehende y lleva a audiencia a probable responsable de homicidio de un joven, ocurrido en Santa Cruz Xoxocotlán",Accidentes e Incidentes
"Dictan formal prisión a sujeto por el delito de homicidio, hecho cometido en 2009, en el distrito de Juquila: FGEO",Accidentes e Incidentes
"Sismo de magnitud preliminar 4. 9 se registra al sur de Tlacolula, Oaxaca",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, obtuvimos auto de vinculación a proceso contra masculino; hechos suscitados en la región Costa",Accidentes e Incidentes
"En prisión y vinculado a proceso, probable responsable de homicidio y lesiones; delitos cometidos en la región de la Costa",Accidentes e Incidentes
Mueve a Oaxaca sismo de 4. 8 en el día de la Independencia,Desastres naturales
"Por el delito de abuso sexual, obtuvimos sentencia condenatoria contra masculino; hechos suscitados en Oaxaca de Juárez",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, aprehendimos y presentamos ante Juez a probable responsable: FGEO",Accidentes e Incidentes
"Sin daños por sismo magnitud 4. 8 con epicentro en Ocotlán de Morelos, Oaxaca",Desastres naturales
"A prisión y vinculado a proceso presunto implicado en el homicidio de dos adultos mayores, cometido en Oaxaca de Juárez: FGEO",Accidentes e Incidentes
"Logramos sentencia condenatoria de 8 años de prisión contra responsable de homicidio; hechos suscitados en 2018, en San Lucas Ojitlán",Accidentes e Incidentes
"Por el delito de violencia familiar cometido en Oaxaca de Juárez, logramos enviar a prisión y vincular a proceso a probable responsable: FGEO",Accidentes e Incidentes
Habrá una exhaustiva investigación por homicidios del Presidente Municipal y Síndico Hacendario de San Felipe Jalapa de Díaz: FGEO,Accidentes e Incidentes
"Por el delito de violencia familiar contra una adolescente, presentamos ante juez a un masculino: FGEO",Accidentes e Incidentes
"Por el delito de violencia familiar contra un adolescente, obtiene FGEO vinculación a proceso contra agresor",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, FGEO obtiene sentencia condenatoria de 7 años de prisión; hechos cometidos en Valles Centrales",Accidentes e Incidentes
"Logramos vincular a proceso a probable partícipe de homicidio, cometido en Santa Lucía del Camino: Fiscalía General",Accidentes e Incidentes
"En colaboración con organizaciones civiles feministas, aprehendimos en Quintana Roo a implicado en el homicidio de E. R. P. , cometido en 2019 en Santa Lucía del Camino",Accidentes e Incidentes
"A prisión probable responsable de homicidio cometido en estacionamiento de iglesia cristiana, en Tlalixtac de Cabrera: FGEO",Accidentes e Incidentes
Aprehendimos y presentamos ante Juez a probable partícipe de homicidio cometido en Juchitán de Zaragoza: Fiscalía General,Accidentes e Incidentes
"Obtiene Fiscalía General auto de vinculación a proceso contra probable responsable de homicidio, cometido en San Pedro Pochutla",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, aprehendimos y presentamos ante Juez a probable responsable: Fiscalía General",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, logramos vincular a proceso a masculino; hechos suscitados en Oaxaca de Juárez: FGEO",Accidentes e Incidentes
Lluvia provoca inundaciones en Tlacolula,Desastres naturales
Diputada de Oaxaca involucrada en accidente carretero; reportan 2 muertos,Accidentes e Incidentes
"Por el delito de violencia familiar, obtuvimos sentencia condenatoria de 36 años de prisión; hechos suscitados en Valles Centrales: FGEO",Accidentes e Incidentes
Obtiene FGEO sentencia condenatoria de 47 años de prisión contra dos masculinos responsables de homicidio y robo a la empresa COMETRA,Accidentes e Incidentes
Responsabilizan a diputada Yarith Tannos de accidente donde una persona perdió la vida la noche de ayer.,Accidentes e Incidentes
"Por el delito de violación y abuso sexual contra una adolescente, aprehendimos y presentamos ante Juez a probable responsable: FGEO",Accidentes e Incidentes
Lluvias provocan inundaciones en 4 colonias de Huajuapan,Desastres naturales
"Por el delito de tentativa de homicidio, obtiene FGEO sentencia condenatoria de 20 años de prisión contra dos sujetos en la Cuenca",Accidentes e Incidentes
"En prisión y vinculados a proceso, tres sujetos implicados en ataque armado y homicidio, en la región de la Cuenca",Accidentes e Incidentes
"Por el delito de homicidio calificado, obtiene FGEO sentencia condenatoria de 35 años de prisión",Accidentes e Incidentes
"Por el delito de despojo, obtuvimos auto de vinculación a proceso contra dos masculinos; hechos suscitados en Oaxaca de Juárez: Fiscalía General",Accidentes e Incidentes
"En prisión preventiva, probable responsable de ataque armado y homicidio; hechos suscitados en Magdalena Tequisistlán",Accidentes e Incidentes
"Por el delito de despojo, FGEO detiene en flagrancia a 9 personas; hechos suscitados en la Ciudad de Oaxaca de Juárez",Accidentes e Incidentes
Muere en accidente carretero un bombero de Tlacolula,Accidentes e Incidentes
"Por el delito de abuso sexual infantil, logramos vincular a proceso a masculino; hechos suscitados en el Distrito de Putla: FGEO",Accidentes e Incidentes
"Sentencian al 'Wanda'a 33 años de prisión por homicidio contra masculino, en Pinotepa Nacional",Accidentes e Incidentes
"Fuerte choque automovilístico deja daños cuantiosos y un herido, en Veracruz",Accidentes e Incidentes
"Ante falta de ayuda de gobierno, recolectan víveres y para afectados por inundaciones en Juchitán, Oaxaca",Desastres naturales
"Por el delito de violencia familiar, obtuvimos auto de vinculación a proceso contra masculino; hechos cometidos en la región de la Costa",Accidentes e Incidentes
Detienen a rapero 'Millonario'de Cartel de Santa por homicidio calificado,Accidentes e Incidentes
FGEO aprehende en Puebla a probables responsables de multihomicidio cometido en Oaxaca; ya están vinculados a proceso,Accidentes e Incidentes
"A prisión probable responsable de homicidio cometido en la agencia Vicente Guerrero, en Valles Centrales: FGEO",Accidentes e Incidentes
"A prisión y vinculado a proceso Presidente Municipal de San Marcial Ozolotepec, señalado por homicidios: FGEO",Accidentes e Incidentes
Obtiene FGEO fallo condenatorio contra responsable de doble homicidio; hechos suscitados en la región del Istmo,Accidentes e Incidentes
Aprehende Fiscalía General a masculino por homicidio y tentativa de homicidio cometidos en el Istmo,Accidentes e Incidentes
"En prisión y vinculada a proceso, probable extorsionadora; hecho cometido en Valles Centrales: FGEO",Accidentes e Incidentes
"FGEO detiene en flagrancia y presenta ante Juez a probable extorsionadora, hecho cometido en Valles Centrales",Accidentes e Incidentes
En casos de homicidios continuaremos aprehendiendo a más responsables: Fiscal General,Accidentes e Incidentes
"Por el delito de abuso sexual contra una adolescente, aprehendimos y presentamos ante Juez a probable responsable: FGEO",Accidentes e Incidentes
Quedan prensados tras accidente registrado en la autopista Córdoba – Veracruz,Accidentes e Incidentes
"En colaboración con la CONASE, aprehendimos en la CDMX a otro implicado en el homicidio de L. W. P. , ocurrido en el Fraccionamiento 'Punta Vizcaya'",Accidentes e Incidentes
"Por el delito de violencia familiar, logramos vincular a proceso a masculino; hechos cometidos en la región de la Costa",Accidentes e Incidentes
Extorsionadores sentenciados con pena de más de cinco años de prisión: FGEO,Accidentes e Incidentes
COMUNICADO-Aprehendimos y presentamos ante Juez a probables autores materiales del homicidio de dos mujeres; una de ellas familiar de periodista oaxaqueño: Fiscalía General,Accidentes e Incidentes
"A prisión y vinculado a proceso probable responsable de triple homicidio, en Putla Villa de Guerrero",Accidentes e Incidentes
"En prisión y vinculados a proceso otros dos probables implicados en homicidio de activista social, cometido en San Baltazar Loxicha: FGEO",Accidentes e Incidentes
Por haitianos declaran 'emergencia'en Casa del Migrante de SLP,Accidentes e Incidentes
Juchitán entre los diez municipios con Declaratoria de Emergencia emitida por el Gobierno federal: Emilio Montero,Accidentes e Incidentes
Compromete Fiscalía General exhaustiva investigación por el homicidio del Presidente Municipal de Chahuites,Accidentes e Incidentes
"En el Istmo, aprehendimos a otro integrante de célula criminal por el delito de homicidio: Fiscalía General",Accidentes e Incidentes
Habitantes de Playa San Vicente desfogan inundaciones,Desastres naturales
Logramos aprehender y presentar ante Juez a probable extorsionador: Fiscalía General,Accidentes e Incidentes
"Logramos aprehender a masculino por el delito de trata de personas; obligaría a adolescente a ejercer la prostitución, en Istmo: FGEO",Accidentes e Incidentes
"Enviamos a prisión y logramos vincular a proceso a cuatro sujetos implicados en homicidio de tres jóvenes, en Pinotepa Nacional: FGEO",Accidentes e Incidentes
"Emite Federación Declaratoria de Emergencia para 10 municipios del Istmo de Oaxaca, tras inundaciones",Desastres naturales
"En prisión preventiva masculino que lesionó con disparo de arma de fuego a una mujer, en Ánimas Trujano: Fiscalía General",Accidentes e Incidentes
Juego de ojos | Miguel Ángel Sánchez de Armas | Avándaro,Accidentes e Incidentes
"Por el delito de trata de personas, detuvimos a mujer que probablemente obligaba a su hija a prostituirse: Fiscalía General",Accidentes e Incidentes
En casos de abuso sexual infantil no habrá impunidad y continuaremos aprehendiendo a más responsables: RVM,Accidentes e Incidentes
"A prisión y vinculados a proceso tres masculinos por el delito de narcomenudeo, en la ciudad de Oaxaca de Juárez: FGEO",Accidentes e Incidentes
ONU: estamos al borde del abismo; el mundo nunca ha estado más amenazado,Accidentes e Incidentes
En prisión preventiva probables extorsionadores detenidos en flagrancia por la Fiscalía General,Accidentes e Incidentes
"Por el delito de fraude, logramos que se impusiera sentencia de 210 años de cárcel a ex presidente de caja de ahorro de Pochutla: FGEO",Accidentes e Incidentes
Fiscalía General captura y lleva a audiencia a probable autor material de homicidio de una joven a quien prendieron fuego,Accidentes e Incidentes
"Segundo accidente en la carretera de Banderillas, ahora un tráiler volcó",Accidentes e Incidentes
"A prisión y vinculado a proceso masculino aprehendido en Baja California por el delito de homicidio, cometido en la Costa",Accidentes e Incidentes
"Debe respetarse posesión de tierra de comuneros afectados de Ayutla Mixe, dice la Procuraduría Agraria",Accidentes e Incidentes
Otro accidente fatal en el Istmo deja un taxista muerto,Accidentes e Incidentes
"Por el delito de abuso sexual infantil, logramos vincular a proceso a masculino; hechos suscitados en región de la Costa: Fiscalía General",Accidentes e Incidentes
"Por el delito de violencia familiar, logramos vincular a proceso a masculino que agredió físicamente a mujer en Huautla de Jiménez",Accidentes e Incidentes
"Sujeto acusado por trata de personas contra dos mujeres, a prisión y vinculado a proceso: Fiscalía General",Accidentes e Incidentes
"Por el delito de homicidio, FGEO aprehende y logra vincular a proceso a masculino; hechos suscitados en la Mixteca",Accidentes e Incidentes
"Por el delito de trata de personas contra dos mujeres, llevamos a audiencia a probable responsable: Fiscalía General",Accidentes e Incidentes
"Por el delito de abuso sexual contra una niña, obtuvimos auto de vinculación a proceso contra masculino",Accidentes e Incidentes
Vinculan a proceso a profesor acusado como probable responsable de abuso sexual infantil: Fiscalía General,Accidentes e Incidentes
Logra Fiscalía General vincular a proceso a masculino acusado por tentativa de homicidio,Accidentes e Incidentes
"Por el delito de trata de personas, logra Fiscalía General auto de formal prisión contra masculino; hechos suscitados en Oaxaca de Juárez",Accidentes e Incidentes
"Aprehende Fiscalía General y lleva a audiencia a probable responsable de homicidio, cometido en Ciudad Ixtepec",Accidentes e Incidentes
"A prisión y vinculado a proceso probable extorsionador, en Oaxaca de Juárez",Accidentes e Incidentes
Entrega DIF Oaxaca ambulancia al ayuntamiento de Santiago Texcalcingo,Accidentes e Incidentes
"A prisión y vinculados a proceso dos masculinos por el delito de homicidio cometido en Pinotepa Nacional, región de la Costa",Accidentes e Incidentes
"A prisión y vinculado a proceso segundo probable responsable de doble homicidio, cometido en Santa María Atzompa: Fiscalía General",Accidentes e Incidentes
Fiscalía General aprehende en el Estado de México a probable responsable de homicidio cometido en la Cuenca,Accidentes e Incidentes
"Aprehende Fiscalía General y lleva ante Juez a 'El Tyson'; probable responsable de doble homicidio, cometido en Valles Centrales",Accidentes e Incidentes
"Desarticula Fiscalía General a banda dedicada al robo de cajeros automáticos, comercios, casas-habitación y narcomenudeo en el Istmo",Accidentes e Incidentes
A prisión preventiva mujer aprehendida por la Fiscalía General por violencia familiar y lesiones contra niña de 11 años,Accidentes e Incidentes
"Tras ser llevado a audiencia, FGEO imputa homicidio a policía municipal de Acatlán de Pérez Figueroa, quien ha quedado en prisión preventiva provisional",Accidentes e Incidentes
"Por el delito de abuso sexual infantil, logramos vincular a proceso a masculino; hechos suscitados en la región de la Costa: Fiscalía General",Accidentes e Incidentes
Aprehende Fiscalía General y lleva ante Juez a masculino que intentó extorsionar a edil de un municipio de la región de la Cuenca,Accidentes e Incidentes
A prisión y vinculado a proceso masculino que intentó extorsionar a edil de un municipio de la región de la Cuenca,Accidentes e Incidentes
A prisión y vinculado a proceso sujeto que intentaba extorsionar a víctima amenazándola con publicar fotografías íntimas: Fiscalía General,Accidentes e Incidentes
"Fiscalía General logra vincular a proceso a mujer que probablemente participó en homicidio de dos adultos mayores, en Oaxaca de Juárez",Accidentes e Incidentes
"Fiscalía General efectúa diligente y exhaustiva investigación por feminicidio de adolescente y homicidio de bebé, cometido en Ejutla de Crespo",Accidentes e Incidentes
"Aprehende Fiscalía General y lleva ante Juez a mujer que probablemente participó en el homicidio de dos adultos mayores, en Oaxaca de Juárez",Accidentes e Incidentes
Ejecuta Fiscalía General orden de aprehensión contra dos probables extorsionadores que operaban en la UABJO,Accidentes e Incidentes
"Por el delito de fraude, Fiscalía General envía a prisión y vincula a proceso a una mujer, en Valles Centrales",Accidentes e Incidentes
Fiscalía General logra vincular a proceso y poner en prisión a ex policía municipal de San Pablo Huitzo por homicidio de joven,Accidentes e Incidentes
"Logra Fiscalía General auto de formal prisión contra ex líder transportista, ahora por el delito de homicidio cometido en Valles Centrales",Accidentes e Incidentes
"Fiscalía General aprehende y lleva ante Juez a ex policía municipal involucrado en homicidio de joven, en San Pablo Huitzo",Accidentes e Incidentes
Vinculan a proceso a 2 por violencia familiar en Valles Centrales,Accidentes e Incidentes
FGEO aprehende a dos probables extorsionadores de comerciantes de la Central de Abasto,Accidentes e Incidentes
Fiscalía General logra vincular a proceso y poner en prisión a ex policía municipal de Acatlán de Pérez Figueroa por homicidio de adolescente,Accidentes e Incidentes
Inicia Fiscalía General investigación tras amenazas contra Consorcio para el Diálogo Parlamentario y la Equidad Oaxaca y dicta medidas de protección en favor de sus integrantes,Accidentes e Incidentes
"Inicia Fiscalía General diligente y exhaustiva investigación por homicidio de mujer, en la región de la Costa",Accidentes e Incidentes
"A prisión y vinculado a proceso, probable responsable de homicidio de ex agente municipal de San Isidro Catano, Etla",Accidentes e Incidentes
"Continúa Fiscalía General investigación por homicidio de joven, ocurrido en jurisdicción de San Pablo Huitzo, Etla",Accidentes e Incidentes
Realiza FGEO investigación exhaustiva para establecer responsabilidades en el homicidio de adolescente en Acatlán de Pérez Figueroa,Accidentes e Incidentes
"Por el delito de trata de personas, detuvimos a sujeto que probablemente obligaba a su concubina a prostituirse: Fiscalía General",Accidentes e Incidentes
"Obtiene FGEO fallo condenatorio contra responsable de doble homicidio, cometido en el bar 'La Terraza', Puerto Escondido",Accidentes e Incidentes
Oaxaca registra 90 decesos por accidentes viales en 2021,Accidentes e Incidentes
"Detiene FGEO a sujeto que probablemente extorsionaba a víctima para no publicar vídeos personales, a través de redes sociales",Accidentes e Incidentes
Detiene Fiscalía General a hermanos líderes transportistas y a otros tres sujetos por portación de armas de fuego y droga,Accidentes e Incidentes
"Logramos vincular a proceso a maestro por probable abuso sexual contra estudiante del COBAO; contra abusadores, todo el peso de la Ley: RVM",Accidentes e Incidentes
"Aprehende Fiscalía General y lleva a audiencia a maestro por probable abuso sexual contra estudiante del COBAO, en Valles Centrales",Accidentes e Incidentes
"Fiscalía General y Unidad de Inteligencia Financiera, anuncian congelamiento de cuentas bancarias de Juan Antonio V. C.",Accidentes e Incidentes
"Obtiene FGEO sentencia de 60 años de prisión contra responsable de doble homicidio, cometido en el bar 'La Terraza', Puerto Escondido",Accidentes e Incidentes
Detienen a integrantes de la CTM por intento de homicidio,Accidentes e Incidentes
"Por hechos suscitados en Santiago Astata, FGEO aprehende y lleva a audiencia a dos masculinos por tentativa de homicidio",Accidentes e Incidentes
Ganaderos del istmo utilizarán una aplicación telefónica para reportar el robo de ganado.,Accidentes e Incidentes
Aprehenden a dos hombres por homicidio de escolta del ex candidato de Las Choapas,Accidentes e Incidentes
"Obtiene Fiscalía General sentencia condenatoria de 70 años contra responsable de doble homicidio, en la región del Istmo.",Accidentes e Incidentes
Logra FGEO otra sentencia condenatoria por tentativa de homicidio contra mujer,Accidentes e Incidentes
Mortal accidente deja un saldo de 3 muertos y 5 heridos ocurrido esta tarde,Accidentes e Incidentes
"Cumplimenta Fiscalía General orden de aprehensión contra probable responsable de doble homicidio, en Acatlán de Pérez Figueroa",Accidentes e Incidentes
"Sentencia condenatoria contra 'El ratón', por el delito de homicidio calificado, en Oaxaca de Juárez: FGEO",Accidentes e Incidentes
Se pierden cultivos por inundaciones severas en Oaxaca,Desastres naturales
"Habrá una exhaustiva investigación por homicidios de dos niñas y una mujer, en Santiago Ixtayutla, región de la Costa: Fiscal General",Accidentes e Incidentes
Investiga Fiscalía General homicidio de mujer cometido en Juchitán de Zaragoza,Accidentes e Incidentes
Aprehenden a 3 por homicidio de líder sindical,Accidentes e Incidentes
"Resultado de necropsia dictamina que la causa de muerte de joven mujer hallada en Puerto Escondido, fue ahogamiento por broncoaspiración de alimentos: FGEO",Accidentes e Incidentes
"Por el delito de homicidio calificado, logra Fiscalía General sentencia de 35 años de prisión contra responsable, en la región del Istmo",Accidentes e Incidentes
"Aprehende FGEO y lleva a audiencia a probables responsables del homicidio y lesiones de dos mujeres, en la zona Loxicha",Accidentes e Incidentes
Fiscalía General inicia investigación por homicidio del Director del plantel 83 del IEBO,Accidentes e Incidentes
Obtiene FGEO vinculación a proceso de uno de los probables responsables del multihomicidio en Trinidad de Viguera,Accidentes e Incidentes
Abre Fiscalía General investigación por homicidio de profesor jubilado y fundador de radio comunitaria en la región Loxicha,Accidentes e Incidentes
Fiscalía General aprehende y lleva ante juez a uno de los probables responsables del multihomicidio en Trinidad de Viguera,Accidentes e Incidentes
